Bait	Prey	Abundance	FCA	log(FCA)	BioGRID	BioGRID2	intAct	intAct2	SP
MTHFR	P78347	5.0	1.26561076308	1.18	0	0	0	0	0.51
MTHFR_38to656	P78347	6.3	1.21594850964	1.15	0	0	0	0	0.54
MTHFR_T34A	P78347	0.3	1.02655429107	1.02	0	0	0	0	0.0
MTHFR	P78344	8.3	1.64452864154	1.4	0	0	0	0	0.99
MTHFR_38to656	P78344	7.0	1.59787494389	1.38	0	0	0	0	0.99
MTHFR_T34A	P78344	9.3	1.83452692362	1.5	0	0	0	0	1.0
MTHFR	P62979	8.0	1.00195982125	1.0	0	0	0	0	0.33
MTHFR_38to656	P62979	8.7	0.978544522152	0.98	0	0	0	0	0.33
MTHFR_T34A	P62979	6.7	0.992269991292	0.99	0	0	0	0	0.28
MTHFR	Q04323	2.7	1.21829899224	1.15	0	0	0	0	0.91
MTHFR_38to656	Q04323	2.0	1.11488865123	1.08	0	0	0	0	0.63
MTHFR_T34A	Q04323	2.3	1.19921703814	1.14	0	0	0	0	0.93
MTHFR	P20618	1.3	1.09091549647	1.06	0	0	0	0	0.94
MTHFR_38to656	P20618	2.3	1.15951800509	1.11	0	0	0	0	0.94
MTHFR_T34A	P20618	1.7	1.14461424348	1.1	0	0	0	0	0.9
MTHFR	P52272	17.0	1.74674517827	1.46	0	0	0	0	0.45
MTHFR_38to656	P52272	24.0	1.9096617239	1.54	0	0	0	0	0.54
MTHFR_T34A	P52272	16.3	1.95946607622	1.57	0	0	0	0	0.56
MTHFR	Q15366	4.0	1.02469086996	1.02	0	0	0	0	0.11
MTHFR_38to656	Q15366	3.7	1.01868482609	1.01	0	0	0	0	0.17
MTHFR_T34A	Q15366	3.0	1.03475700326	1.02	0	0	0	0	0.24
MTHFR	O60573	1.0	1.08617451201	1.06	0	0	0	0	0.62
MTHFR_38to656	O60573	0.3	1.01045013486	1.01	0	0	0	0	0.0
MTHFR_T34A	O60573	1.0	1.08040997948	1.06	0	0	0	0	0.56
MTHFR	Q15365	5.7	1.41407364953	1.27	0	0	0	0	0.98
MTHFR_38to656	Q15365	4.7	1.38739444817	1.26	0	0	0	0	0.98
MTHFR_T34A	Q15365	5.3	1.49144274826	1.32	0	0	0	0	0.97
MTHFR	Q9H9Y6	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	Q9H9Y6	1.0	1.03135040457	1.02	0	0	0	0	0.17
MTHFR	P29401	1.7	1.10781248069	1.08	0	0	0	0	0.93
MTHFR_38to656	P29401	3.0	1.16302232744	1.11	0	0	0	0	0.98
MTHFR_T34A	P29401	1.0	1.08115708574	1.06	0	0	0	0	0.52
MTHFR	Q9UMS4	4.3	1.25612879417	1.17	0	0	0	0	0.65
MTHFR_38to656	Q9UMS4	6.0	1.20549837478	1.14	0	0	0	0	0.58
MTHFR_T34A	Q9UMS4	1.0	1.09001144881	1.06	0	0	0	0	0.56
MTHFR	Q9H0S4	1.0	1.05069095266	1.04	0	0	0	0	0.3
MTHFR_38to656	Q9H0S4	2.0	1.06270080914	1.04	0	0	0	0	0.32
MTHFR	P35244	1.3	1.07974393665	1.06	0	0	0	0	0.6
MTHFR_38to656	P35244	1.0	1.06552962357	1.05	0	0	0	0	0.6
MTHFR_T34A	P35244	1.0	1.09075855507	1.06	0	0	0	0	0.0
MTHFR	P39023	9.0	1.65499505039	1.41	0	0	0	0	0.98
MTHFR_38to656	P39023	7.3	1.50578742176	1.33	0	0	0	0	0.98
MTHFR_T34A	P39023	7.7	1.67956410456	1.42	0	0	0	0	0.98
MTHFR	O75436	1.7	1.13212448022	1.09	0	0	0	0	0.91
MTHFR_38to656	O75436	1.3	1.09337570579	1.07	0	0	0	0	0.93
MTHFR_T34A	O75436	1.7	1.14461424348	1.1	0	0	0	0	0.91
MTHFR_38to656	P35241	0.7	1.02090026971	1.01	0	0	0	0	0.24
MTHFR	P35249	2.7	1.19300255275	1.13	0	0	0	0	0.98
MTHFR_38to656	P35249	1.7	1.12122178801	1.08	0	0	0	0	0.95
MTHFR_T34A	P35249	2.3	1.19921703814	1.14	0	0	0	0	0.92
MTHFR	P08621	3.7	1.18586682643	1.13	0	0	0	0	0.32
MTHFR_38to656	P08621	5.0	1.15675202285	1.11	0	0	0	0	0.33
MTHFR_T34A	P08621	0.7	1.07380573332	1.05	0	0	0	0	0.3
MTHFR	Q9NVP1	3.0	1.15207285798	1.11	0	0	0	0	0.32
MTHFR_38to656	Q9NVP1	6.7	1.20900269713	1.14	0	0	0	0	0.33
MTHFR_T34A	Q9NVP1	0.3	1.03690286666	1.03	0	0	0	0	0.0
MTHFR	Q96CS3	1.7	1.13114004027	1.09	0	0	0	0	0.92
MTHFR_38to656	Q96CS3	2.7	1.18675141158	1.13	0	0	0	0	0.97
MTHFR_T34A	Q96CS3	2.0	1.17116853455	1.12	0	0	0	0	0.9
MTHFR	A6NDG6	1.7	1.13114004027	1.09	0	0	0	0	0.92
MTHFR_38to656	A6NDG6	1.3	1.09398838152	1.07	0	0	0	0	0.56
MTHFR_T34A	A6NDG6	2.7	1.22577132922	1.15	0	0	0	0	0.93
MTHFR	P62807	2.3	0.470415706995	0.56	0	0	0	0	0.0
MTHFR_38to656	P62807	2.3	0.458102107976	0.54	0	0	0	0	0.0
MTHFR_T34A	P62807	0.7	0.450465326295	0.54	0	0	0	0	0.0
MTHFR	P62805	31.7	0.362599171025	0.45	0	0	0	0	0.21
MTHFR_38to656	P62805	46.0	0.382054946148	0.47	0	0	0	0	0.14
MTHFR_T34A	P62805	11.0	0.303479008074	0.38	0	0	0	0	0.03
MTHFR	Q99880	2.3	0.470415706995	0.56	0	0	0	0	0.0
MTHFR_38to656	Q99880	2.3	0.458102107976	0.54	0	0	0	0	0.0
MTHFR_T34A	Q99880	0.7	0.450465326295	0.54	0	0	0	0	0.0
MTHFR	Q9Y6E2	0.3	1.02806854404	1.02	0	0	0	0	0.0
MTHFR_38to656	Q9Y6E2	0.7	1.03829621708	1.03	0	0	0	0	0.0
MTHFR_T34A	Q9Y6E2	0.3	1.02730139733	1.02	0	0	0	0	0.0
MTHFR	P43307	1.7	1.13114004027	1.09	0	0	0	0	0.92
MTHFR_38to656	P43307	0.7	1.05569216444	1.04	0	0	0	0	0.31
MTHFR_T34A	P43307	2.0	1.18151711014	1.13	0	0	0	0	0.94
MTHFR	Q9H8H0	1.7	1.0844849211	1.06	0	0	0	0	0.29
MTHFR_38to656	Q9H8H0	2.3	1.07315094399	1.05	0	0	0	0	0.3
MTHFR	Q71DI3	6.3	0.329458045079	0.41	0	0	0	0	0.0
MTHFR_38to656	Q71DI3	8.3	0.345952336674	0.43	0	0	0	0	0.0
MTHFR_T34A	Q71DI3	2.3	0.318861414949	0.4	0	0	0	0	0.0
MTHFR	Q9H8H2	0.7	1.03379396844	1.02	0	0	0	0	0.19
MTHFR_38to656	Q9H8H2	0.7	1.02090026971	1.01	0	0	0	0	0.18
MTHFR	Q09161	2.0	1.10138190532	1.07	0	0	0	0	0.31
MTHFR_38to656	Q09161	2.0	1.06270080914	1.04	0	0	0	0	0.3
MTHFR	Q14562	0.7	1.03379396844	1.02	0	0	0	0	0.17
MTHFR_38to656	Q14562	1.7	1.05225067428	1.04	0	0	0	0	0.24
MTHFR	O60762	3.0	1.25753909609	1.17	0	0	0	0	0.64
MTHFR_38to656	O60762	2.3	1.19369722409	1.13	0	0	0	0	0.94
MTHFR_T34A	O60762	3.7	1.31652988428	1.21	0	0	0	0	0.96
MTHFR	Q99848	2.0	1.10138190532	1.07	0	0	0	0	0.32
MTHFR_38to656	Q99848	3.0	1.09405121371	1.07	0	0	0	0	0.33
MTHFR	P18077	1.3	1.09091549647	1.06	0	0	0	0	0.93
MTHFR_38to656	P18077	3.3	1.19086840966	1.13	0	0	0	0	0.94
MTHFR_T34A	P18077	3.0	1.2722756652	1.18	0	0	0	0	0.97
MTHFR	P62714	0.3	1.02905298399	1.02	0	0	0	0	0.0
MTHFR_38to656	P62714	0.7	1.02090026971	1.01	0	0	0	0	0.28
MTHFR	O75940	1.0	1.05069095266	1.04	0	0	0	0	0.31
MTHFR_38to656	O75940	0.3	1.01045013486	1.01	0	0	0	0	0.0
MTHFR_T34A	O75940	0.3	1.03690286666	1.03	0	0	0	0	0.0
MTHFR_38to656	Q15181	0.7	1.03829621708	1.03	0	0	0	0	0.0
MTHFR_T34A	Q15181	1.0	1.08040997948	1.06	0	0	0	0	0.57
MTHFR	P17844	5.7	1.32174785115	1.22	0	0	0	0	0.92
MTHFR_38to656	P17844	8.7	1.37546651473	1.25	0	0	0	0	0.94
MTHFR_T34A	P17844	2.7	1.24646848039	1.17	0	0	0	0	0.92
MTHFR	Q9NRH3	1.7	1.14231160009	1.1	0	0	0	0	0.62
MTHFR_38to656	Q9NRH3	2.0	1.14906787023	1.1	0	0	0	0	0.94
MTHFR_T34A	Q9NRH3	1.0	1.08115708574	1.06	0	0	0	0	0.57
MTHFR_38to656	Q9NPF4	1.0	1.08353824667	1.06	0	0	0	0	0.32
MTHFR_T34A	Q9NPF4	1.0	1.08115708574	1.06	0	0	0	0	0.56
MTHFR	O94906	2.7	1.13517587376	1.09	0	0	0	0	0.3
MTHFR_38to656	O94906	3.3	1.10450134856	1.07	0	0	0	0	0.29
MTHFR	O94905	1.0	1.08617451201	1.06	0	0	0	0	0.6
MTHFR_38to656	O94905	1.3	1.09337570579	1.07	0	0	0	0	0.93
MTHFR_T34A	O94905	1.3	1.11731284614	1.08	0	0	0	0	0.88
MTHFR	Q2TAY7	0.7	1.03379396844	1.02	0	0	0	0	0.25
MTHFR_38to656	Q2TAY7	2.0	1.06270080914	1.04	0	0	0	0	0.32
MTHFR	Q5SNT2	1.7	1.13114004027	1.09	0	0	0	0	0.9
MTHFR_38to656	Q5SNT2	1.7	1.10382584065	1.07	0	0	0	0	0.94
MTHFR_T34A	Q5SNT2	0.7	1.05385568841	1.04	0	0	0	0	0.0
MTHFR	Q92522	1.0	1.05069095266	1.04	0	0	0	0	0.31
MTHFR_38to656	Q92522	2.3	1.07315094399	1.05	0	0	0	0	0.32
MTHFR_T34A	Q92522	0.3	1.02655429107	1.02	0	0	0	0	0.0
MTHFR	O43242	2.0	1.14902146444	1.1	0	0	0	0	0.94
MTHFR_38to656	O43242	4.0	1.29752306473	1.2	0	0	0	0	0.99
MTHFR_T34A	O43242	3.3	1.29957706254	1.2	0	0	0	0	0.97
MTHFR	Q13123	1.3	1.06758793688	1.05	0	0	0	0	0.29
MTHFR_38to656	Q13123	2.3	1.07315094399	1.05	0	0	0	0	0.3
MTHFR	Q8WU90	2.3	1.17610556853	1.12	0	0	0	0	0.97
MTHFR_38to656	Q8WU90	2.0	1.1322845986	1.09	0	0	0	0	0.6
MTHFR_T34A	Q8WU90	2.7	1.22577132922	1.15	0	0	0	0	0.94
MTHFR_38to656	Q9UPN9	1.0	1.03135040457	1.02	0	0	0	0	0.19
MTHFR	Q8N684	1.7	1.09565648092	1.07	0	0	0	0	0.59
MTHFR_38to656	Q8N684	2.7	1.08360107885	1.06	0	0	0	0	0.31
MTHFR	Q9Y3Y2	0.7	1.03379396844	1.02	0	0	0	0	0.3
MTHFR_38to656	Q9Y3Y2	1.7	1.05225067428	1.04	0	0	0	0	0.32
MTHFR	Q02878	12.7	1.56148929082	1.36	0	0	0	0	0.56
MTHFR_38to656	Q02878	13.7	1.62467044851	1.39	0	0	0	0	0.59
MTHFR_T34A	Q02878	14.0	1.81978366941	1.5	0	0	0	0	0.8
MTHFR	Q9UNX3	5.3	1.41031710503	1.27	0	0	0	0	0.98
MTHFR_38to656	Q9UNX3	6.3	1.42224917509	1.28	0	0	0	0	0.97
MTHFR_T34A	Q9UNX3	5.7	1.49729988816	1.32	0	0	0	0	0.98
MTHFR	Q9UNX4	1.3	1.06758793688	1.05	0	0	0	0	0.27
MTHFR_38to656	Q9UNX4	5.0	1.15675202285	1.11	0	0	0	0	0.32
MTHFR_38to656	Q5VZL5	0.7	1.02090026971	1.01	0	0	0	0	0.09
MTHFR	A5YKK6	2.0	1.14803702449	1.1	0	0	0	0	0.88
MTHFR_38to656	A5YKK6	2.3	1.15951800509	1.11	0	0	0	0	0.88
MTHFR_T34A	A5YKK6	1.7	1.15496281906	1.11	0	0	0	0	0.7
MTHFR	O75367	3.7	1.18586682643	1.13	0	0	0	0	0.32
MTHFR_38to656	O75367	5.3	1.25295654306	1.17	0	0	0	0	0.94
MTHFR_T34A	O75367	0.7	1.07380573332	1.05	0	0	0	0	0.3
MTHFR	P26640	3.0	1.19971241711	1.14	0	0	0	0	0.92
MTHFR_38to656	P26640	1.7	1.13800505964	1.1	0	0	0	0	0.93
MTHFR_T34A	P26640	3.3	1.29957706254	1.2	0	0	0	0	0.98
MTHFR	P26641	10.0	1.18767861013	1.13	0	0	0	0	0.19
MTHFR_38to656	P26641	9.7	1.20420101094	1.14	0	0	0	0	0.2
MTHFR_T34A	P26641	9.7	1.2780993819	1.19	0	0	0	0	0.32
MTHFR_38to656	Q16527	0.3	1.01045013486	1.01	0	0	0	0	0.0
MTHFR_T34A	Q16527	0.7	1.05310858215	1.04	0	0	0	0	0.31
MTHFR	Q99460	1.0	1.08519007206	1.06	0	0	0	0	0.53
MTHFR_38to656	Q99460	2.0	1.09749270387	1.07	0	0	0	0	0.59
MTHFR_T34A	Q99460	0.7	1.05460279467	1.04	0	0	0	0	0.24
MTHFR	O75369	3.7	1.23153750564	1.16	0	0	0	0	0.84
MTHFR_38to656	O75369	4.3	1.18803959523	1.13	0	0	0	0	0.56
MTHFR_T34A	O75369	1.7	1.13501277415	1.09	0	0	0	0	0.28
MTHFR	P60709	9.0	0.432945366733	0.52	0	0	0	0	0.0
MTHFR_38to656	P60709	11.3	0.409165276585	0.49	0	0	0	0	0.0
MTHFR_T34A	P60709	3.0	0.372952027613	0.46	0	0	0	0	0.0
MTHFR	O14787	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	O14787	0.7	1.02090026971	1.01	0	0	0	0	0.17
MTHFR	Q9NUU7	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	Q9NUU7	1.3	1.07659243416	1.05	0	0	0	0	0.61
MTHFR_T34A	Q9NUU7	0.7	1.05460279467	1.04	0	0	0	0	0.27
MTHFR	Q6FI13	4.3	1.28865903366	1.19	0	0	0	0	0.95
MTHFR_38to656	Q6FI13	8.0	1.5092917441	1.33	0	0	0	0	0.98
MTHFR_T34A	Q6FI13	2.3	1.21916708306	1.15	0	0	0	0	0.91
MTHFR	Q13347	2.7	1.18084655298	1.12	0	0	0	0	0.95
MTHFR_38to656	Q13347	2.3	1.12533878609	1.09	0	0	0	0	0.64
MTHFR_T34A	Q13347	2.0	1.16156706522	1.11	0	0	0	0	0.64
MTHFR	P49411	1.3	0.743219513335	0.8	0	0	0	0	0.04
MTHFR_38to656	P49411	0.7	0.699927867598	0.77	0	0	0	0	0.01
MTHFR_T34A	P49411	1.3	0.780264890644	0.83	0	0	0	0	0.07
MTHFR	P23588	1.7	1.13015560032	1.09	0	0	0	0	0.89
MTHFR_38to656	P23588	1.7	1.08704256901	1.06	0	0	0	0	0.61
MTHFR_T34A	P23588	1.7	1.13501277415	1.09	0	0	0	0	0.62
MTHFR	Q9BQG0	7.3	1.38290521267	1.25	0	0	0	0	0.44
MTHFR_38to656	Q9BQG0	11.3	1.37270053248	1.25	0	0	0	0	0.43
MTHFR_T34A	Q9BQG0	1.0	1.10036002439	1.07	0	0	0	0	0.38
MTHFR	P62491	1.3	0.76601688415	0.82	0	0	0	0	0.03
MTHFR_38to656	P62491	0.7	0.722513844957	0.78	0	0	0	0	0.02
MTHFR_T34A	P62491	0.3	0.720784405003	0.78	0	0	0	0	0.0
MTHFR	P61619	3.0	1.20891509701	1.14	0	0	0	0	0.95
MTHFR_38to656	P61619	1.7	1.08704256901	1.06	0	0	0	0	0.62
MTHFR_T34A	P61619	1.3	1.11731284614	1.08	0	0	0	0	0.92
MTHFR	P62495	1.3	1.10208705628	1.07	0	0	0	0	0.89
MTHFR_38to656	P62495	1.3	1.09337570579	1.07	0	0	0	0	0.94
MTHFR_T34A	P62495	1.0	1.09075855507	1.06	0	0	0	0	0.0
MTHFR_38to656	Q14966	1.7	1.05225067428	1.04	0	0	0	0	0.16
MTHFR	P50395	1.7	1.14231160009	1.1	0	0	0	0	0.65
MTHFR_38to656	P50395	1.3	1.07659243416	1.05	0	0	0	0	0.6
MTHFR_T34A	P50395	1.3	1.10845848308	1.08	0	0	0	0	0.56
MTHFR	Q13642	1.0	1.07401851225	1.05	0	0	0	0	0.0
MTHFR_38to656	Q13642	1.3	1.11077165315	1.08	0	0	0	0	0.89
MTHFR_T34A	Q13642	1.7	1.15496281906	1.11	0	0	0	0	0.92
MTHFR	Q9Y5A9	1.0	1.07401851225	1.05	0	0	0	0	0.0
MTHFR_38to656	Q9Y5A9	0.7	1.03829621708	1.03	0	0	0	0	0.0
MTHFR_T34A	Q9Y5A9	1.0	1.09075855507	1.06	0	0	0	0	0.0
MTHFR	P25205	6.7	1.4667334821	1.3	0	0	0	0	0.99
MTHFR_38to656	P25205	6.0	1.39440309287	1.26	0	0	0	0	0.99
MTHFR_T34A	P25205	5.3	1.47074559709	1.3	0	0	0	0	0.99
MTHFR	Q16181	5.0	1.38126412104	1.25	0	0	0	0	0.99
MTHFR_38to656	Q16181	4.0	1.3149190121	1.21	0	0	0	0	0.98
MTHFR_T34A	Q16181	3.0	1.25157851403	1.17	0	0	0	0	0.95
MTHFR	Q96MU7	1.3	1.06758793688	1.05	0	0	0	0	0.28
MTHFR_38to656	Q96MU7	1.0	1.03135040457	1.02	0	0	0	0	0.24
MTHFR	Q6P6C2	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	Q6P6C2	0.7	1.02090026971	1.01	0	0	0	0	0.26
MTHFR	Q96HS1	1.7	0.624190161601	0.7	0	0	0	0	0.0
MTHFR_T34A	Q96HS1	0.7	0.60378918119	0.68	0	0	0	0	0.01
MTHFR_38to656	Q96KM6	0.7	1.02090026971	1.01	0	0	0	0	0.16
MTHFR	Q5RKV6	1.0	1.05069095266	1.04	0	0	0	0	0.31
MTHFR_38to656	Q5RKV6	1.7	1.05225067428	1.04	0	0	0	0	0.31
MTHFR	Q9H6R4	1.3	1.06758793688	1.05	0	0	0	0	0.26
MTHFR_38to656	Q9H6R4	1.7	1.05225067428	1.04	0	0	0	0	0.24
MTHFR	P48556	2.0	1.16019302426	1.11	0	0	0	0	0.92
MTHFR_38to656	P48556	0.7	1.03829621708	1.03	0	0	0	0	0.0
MTHFR_T34A	P48556	2.0	1.18151711014	1.13	0	0	0	0	0.94
MTHFR	P60891	1.0	1.07401851225	1.05	0	0	0	0	0.0
MTHFR_38to656	P60891	0.7	1.05507948871	1.04	0	0	0	0	0.0
MTHFR_T34A	P60891	0.3	1.03690286666	1.03	0	0	0	0	0.0
MTHFR	P01834	1.7	0.375163712629	0.46	0	0	0	0	0.0
MTHFR_T34A	P01834	1.0	0.372035201132	0.46	0	0	0	0	0.0
MTHFR	Q9NZM5	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	Q9NZM5	1.7	1.05225067428	1.04	0	0	0	0	0.3
MTHFR	Q9NW64	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	Q9NW64	0.7	1.02090026971	1.01	0	0	0	0	0.25
MTHFR	P51608	0.7	1.03379396844	1.02	0	0	0	0	0.26
MTHFR_38to656	P51608	1.0	1.03135040457	1.02	0	0	0	0	0.27
MTHFR	Q96H79	1.3	1.10307149623	1.07	0	0	0	0	0.91
MTHFR_38to656	Q96H79	1.7	1.12122178801	1.08	0	0	0	0	0.96
MTHFR_T34A	Q96H79	1.7	1.14461424348	1.1	0	0	0	0	0.91
MTHFR	Q9UHD8	2.0	1.14902146444	1.1	0	0	0	0	0.93
MTHFR_38to656	Q9UHD8	2.0	1.1142759755	1.08	0	0	0	0	0.95
MTHFR_T34A	Q9UHD8	2.0	1.17116853455	1.12	0	0	0	0	0.93
MTHFR	Q9Y295	1.7	1.13015560032	1.09	0	0	0	0	0.91
MTHFR_38to656	Q9Y295	1.3	1.07659243416	1.05	0	0	0	0	0.61
MTHFR_T34A	Q9Y295	1.3	1.10771137681	1.08	0	0	0	0	0.58
MTHFR	Q6UXN9	0.7	1.03379396844	1.02	0	0	0	0	0.29
MTHFR_38to656	Q6UXN9	1.3	1.04180053943	1.03	0	0	0	0	0.32
MTHFR	O15212	0.7	1.05712152802	1.04	0	0	0	0	0.0
MTHFR_38to656	O15212	1.0	1.0661422993	1.05	0	0	0	0	0.58
MTHFR_T34A	O15212	1.3	1.10845848308	1.08	0	0	0	0	0.59
MTHFR	Q13823	2.3	1.11827888954	1.08	0	0	0	0	0.32
MTHFR_38to656	Q13823	3.7	1.11495148342	1.08	0	0	0	0	0.32
MTHFR	P17066	0.3	1.02806854404	1.02	0	0	0	0	0.0
MTHFR_38to656	P17066	0.3	1.01045013486	1.01	0	0	0	0	0.0
MTHFR	P49959	1.3	1.06758793688	1.05	0	0	0	0	0.28
MTHFR_38to656	P49959	2.7	1.08360107885	1.06	0	0	0	0	0.3
MTHFR_T34A	P49959	0.3	1.02655429107	1.02	0	0	0	0	0.0
MTHFR	P49790	1.7	1.0844849211	1.06	0	0	0	0	0.26
MTHFR_38to656	P49790	1.3	1.04180053943	1.03	0	0	0	0	0.2
MTHFR_T34A	Q01813	0.7	1.05385568841	1.04	0	0	0	0	0.0
MTHFR	P49792	5.7	1.28724873175	1.19	0	0	0	0	0.27
MTHFR_38to656	P49792	13.0	1.4075552594	1.27	0	0	0	0	0.33
MTHFR	P56545	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	P56545	0.7	1.02090026971	1.01	0	0	0	0	0.25
MTHFR_T34A	P56545	0.3	1.02655429107	1.02	0	0	0	0	0.0
MTHFR	Q9Y2Z0	4.7	1.36338269687	1.24	0	0	0	0	0.99
MTHFR_38to656	Q9Y2Z0	3.0	1.30035187916	1.2	0	0	0	0	0.86
MTHFR_T34A	Q9Y2Z0	5.0	1.44493841227	1.29	0	0	0	0	0.96
MTHFR_38to656	P51116	0.3	1.01045013486	1.01	0	0	0	0	0.0
MTHFR	Q93008	3.0	1.24538309632	1.17	0	0	0	0	0.76
MTHFR_38to656	Q93008	3.3	1.17347246229	1.12	0	0	0	0	0.93
MTHFR_T34A	Q93008	4.7	1.40579422683	1.27	0	0	0	0	0.98
MTHFR	P51114	2.0	1.14803702449	1.1	0	0	0	0	0.96
MTHFR_38to656	P51114	3.3	1.17408513803	1.12	0	0	0	0	0.65
MTHFR_T34A	P51114	2.3	1.19921703814	1.14	0	0	0	0	0.92
MTHFR	Q00341	11.3	1.87874017804	1.53	0	0	0	0	1.0
MTHFR_38to656	Q00341	10.0	1.6595849658	1.41	0	0	0	0	1.0
MTHFR_T34A	Q00341	9.7	1.83302391297	1.5	0	0	0	0	0.99
MTHFR	Q00610	32.3	2.65914505599	1.87	0	0	0	0	0.86
MTHFR_38to656	Q00610	35.7	2.62497987651	1.86	0	0	0	0	0.9
MTHFR_T34A	Q00610	27.3	2.79568673559	1.92	0	0	0	0	0.82
MTHFR_38to656	Q5SRE5	0.7	1.02090026971	1.01	0	0	0	0	0.08
MTHFR	O60814	2.3	0.470415706995	0.56	0	0	0	0	0.0
MTHFR_38to656	O60814	2.3	0.458102107976	0.54	0	0	0	0	0.0
MTHFR_T34A	O60814	0.7	0.450465326295	0.54	0	0	0	0	0.0
MTHFR	P67775	0.3	1.02905298399	1.02	0	0	0	0	0.0
MTHFR_38to656	P67775	0.7	1.02090026971	1.01	0	0	0	0	0.26
